id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30642,Technological implant,636.0,283.0,159.0,118.75,neutral,1164,1.0, ,,1,2121
30651,Could be used to exploit workers,958.857,68.5714,193.996,145.0,negative strong,1164,4.0, ,,1,2121
30675,Would help people with sleep disorders,378.281,188.125,193.929,144.933,positive strong,1164,5.0, ,,1,2121
30689,Could be damaging for soliders,268.857,431.286,160.0,120.0,negative weak,1164,7.0,Could mean they end up being more reckless ,17:43:32,1,2121
30714,Could be useful for the military,403.138,315.554,160.0,120.0,positive weak,1164,9.0,Depends on how you feel about the military,17:44:50,1,2121
30743,Could make people more productive,236.714,123.286,160.0,120.0,positive,1164,14.0, ,,1,2121
30751,"Could be used for profit, drives capitalism",806.0,149.714,180.647,135.0,negative,1164,15.0, ,,1,2121
30765,Ethical issues,668.143,416.692,159.308,118.996,negative weak,1164,16.0, ,,1,2121
30793,Could disagree with people's religion,531.143,503.286,160.0,120.0,negative weak,1164,17.0,Playing God?,17:49:13,1,2121
30832,Could create inequality,878.429,263.0,167.321,125.0,negative weak,1164,18.0, ,,1,2121
30841,Could be used to discriminate against specific workers who don't have the implant,841.286,359.982,225.134,168.371,negative,1164,19.0, ,17:50:36,1,2121
30868,Could lead to global inequality in terms of who can get it and who can't ,766.42,502.978,204.621,152.969,negative weak,1164,20.0,Lead to more disparity between the North and the Global South,17:53:38,1,2121
30899,Could make a lot of money for people,439.714,82.4286,160.0,120.0,positive weak,1164,23.0, ,,1,2121
30919,Could make certain jobs easier e.g. jobs that take place on the nightshift,184.71,228.281,184.643,137.991,positive,1164,24.0, ,17:55:25,1,2121
